measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2011,11.345488184,17.72092260862,4.13850967241
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2012,629.8885018971969,972.9621319268526,231.47701119245187
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2012,0.5713904825326309,0.7757979967317539,0.2387454775604461
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2012,10.824172742590001,16.71964189894,3.97776296526
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2013,616.0390354564842,989.9756593662006,234.75790792505887
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2013,0.5741022576274097,0.7814813001738379,0.2387038476773518
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2013,10.39390336086,16.703018381670002,3.96087076911
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2014,604.3674891701812,984.1172854346096,232.3476783803864
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2014,0.5775812990962826,0.786483615482171,0.2433032399574962
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2014,10.040275158050001,16.34900703729,3.8599604794699998
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2015,585.700443957592,950.3911328275176,210.9228005156984
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2015,0.5812676906897933,0.7927065224497553,0.2398402173231579
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2015,9.60294897519,15.58229577793,3.45821983226
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2016,550.8569432826307,932.4673904978772,196.88169297072432
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2016,0.5836231676329826,0.7956349026492715,0.242270818012557
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2016,8.9291321437,15.114858133270001,3.1913597071799997
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2017,541.2446971122444,920.0702889267434,186.24904846514343
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2017,0.5877175225321062,0.8037688494443347,0.2428542862271553
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2017,8.684787837670001,14.763406085460002,2.9885437760699998
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2018,548.4636578075265,948.4545671458544,198.24479480014605
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2018,0.5908677204645546,0.8048691546452984,0.2431222133855282
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2018,8.71997953655,15.079402799290001,3.15187803107
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2019,548.3651886175309,952.6533126752328,192.37068351617185
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2019,0.5942346847226646,0.8069943515885794,0.2493116953005418
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2019,8.64366634066,15.01630217236,3.0322639667
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2020,550.5648682292772,1000.341014791639,193.3970298730548
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2020,0.5989268575398418,0.8081488876462961,0.2433682965073001
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2020,8.607750900720001,15.63973069838,3.02364635695
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2021,551.9345984573511,995.4075952840906,184.11642833773743
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2021,0.6033030439203673,0.8147795701602221,0.244342639039296
1,Deaths,4712,Riau,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2021,8.56304275609,15.44334749439,2.85649215027
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2000,1909.126217150908,2863.9743297868863,748.3814893542351
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2000,0.536231835415085,0.7389667150898258,0.2218949983182464
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2000,28.51839293924,42.78184677944,11.1792699666
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2001,1812.8405907775327,2722.121402695777,708.3558229394926
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2001,0.5288744639363874,0.732865752637183,0.2134509674046471
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2001,26.717903004769997,40.11901320746,10.43984907798
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2002,1735.6510838030126,2655.7905731409783,643.5545506927303
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2002,0.5221493739871486,0.7256839083369628,0.2069951045898812
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2002,25.2435916645,38.62625005708,9.35996205869
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2003,1659.9431158897537,2559.400848223648,627.1819013068135
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2003,0.5149100303779692,0.7197968484216396,0.1987810022503275
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2003,23.82818496357,36.73973898479,9.00308342321
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2004,1591.8151605057892,2386.6240957598848,593.2999961091368
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2004,0.5079090741561425,0.7112595868069581,0.1938702444201419
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2004,22.55632488352,33.818919315790005,8.40717427354
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2005,1535.3933842162676,2361.902031713347,576.0880772384282
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2005,0.500763002619631,0.6975157285314724,0.1890832368693542
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2005,21.47838905891,33.04029526093,8.05881019309
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2006,1476.7380591224864,2236.526249112472,552.3903305185185
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2006,0.4954548944492804,0.696448786048798,0.1815328893310773
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2006,20.39444317129,30.88747337882,7.62876878167
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2007,1428.729920047656,2117.46873286066,525.2156115256776
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2007,0.4889306895358047,0.6911798680102689,0.1832904697167942
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2007,19.481587988970002,28.872954121200003,7.16162936434
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2008,1369.9718122771103,2031.837030873635,484.7860771973632
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2008,0.4804619704952819,0.6843080368316188,0.1781344159506435
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2008,18.445182438579998,27.35647871297,6.5271179724
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2009,1304.619332832621,1952.5909976605892,486.7467547232048
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2009,0.4715284750544078,0.6732229383602943,0.1732204627185828
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2009,17.34544510637,25.96049216255,6.471496245899999
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2010,1239.0369828754374,1924.262943485804,416.81991893438806
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2010,0.4637174456773861,0.6702826904124004,0.1706554226159606
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2010,16.2685902437,25.26562627377,5.47285719497
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2011,1172.463108826871,1778.7268831493016,393.2398329435613
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2011,0.4566610881678357,0.6606458612911449,0.1681549756498122
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2011,15.20418454216,23.06604922399,5.09942781516
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2012,1123.2416411673291,1716.9872620645085,377.4758011103471
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2012,0.4501248411223142,0.6551939003934675,0.1657840165808355
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,3,Rate,2012,14.388761892069999,21.99466257312,4.83547726787
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,1,Number,2013,1080.616922675256,1709.6787637095497,354.3441843475125
1,Deaths,4714,South Sumatra,3,Both,22,All ages,957,Enteric infections,83,Unsafe water source,2,Percent,2013,0.4441360366101747,0.6458377208429833,0.1600517103780301
